lmao	laughing my ass off
omg	oh my god
rofl	rolling on the floor laughing
idk	I don’t know
lmfao	laughing my fucking ass off
omfg	oh my fucking god
wtf	what the fuck
2	to
5sos	5 seconds of summer
smh	shaking my head
fav	favorite
okc	oklahoma city
ily	I love you
ilysm	I love you so much
xd	XD
tbh	to be honest
idc	I don’t care
tl	timeline
ig	instagram
stfu	shut the fuck up
mfs	motherfuckers
lolz	laughing out loud
btw	by the way
ik	I know
idgaf	I don’t give a fuck
jk	just kidding
lls	laughing like shit
hmu	hit me up
fb	facebook
u	you
r	are
c	see
ur	your
w	with
bf	boyfriend
gf	girlfriend
bfs	boyfriends
gfs	girlfriends
bff	best friend
nvm	never mind
ffs	for fucks sake
gr8	great
bc	because
